"AUTOTROPH_FLAGELLATE" "BACTERIA" "DETRITUS" "DIATOM" "DISSOLVED_ORGANIC_MATTER" "HETEROTROPH_FLAGELLATE" "MIXOTROPH_FLAGELLATE" "PHYTOPLANKTON" "PROTOZOOPLANKTON" "ACARTIA_SPP" "CENTROPAGES_HAMATUS" "CYCLOPS_SP" "EVADNE_SP" "FRITILLARIA_BOREALIS" "KERATELLA_SP" "SYNCHAETA_SP" "TEMORA_LONGICORNIS" "AMPHARETE_SP" "BYLGIDES_SARSI" "CAPITELLA_CAPITATA" "DIASTYLIS_RATHKEI" "HALICRYPTUS_SPINULOSUS" "LIMECOLA_BALTHICA" "MARENZELLERIA_SP" "MONOPOREIA_AFFINIS" "MYSIS_SPP" "MYTILUS_EDULIS" "PYGOSPIO_ELEGANS" "SADURIA_ENTOMON" "SCOLOPLOS_ARMIGER" "TEREBELLIDES_STROEMI" "ALOSA_FALLAX" "CLUPEA_HARENGUS" "COREGONUS_ALBULA" "ENCHELYOPUS_CIMBRIUS" "GADUS_MORHUA" "GASTEROSTEUS_ACULEATUS" "HYPEROPLUS_LANCEOLATUS" "LIMANDA_LIMANDA" "MERLANGIUS_MERLANGUS" "MYOXOCEPHALUS_QUADRICORNIS" "MYOXOCEPHALUS_SCORPIUS" "OSMERUS_EPERLANUS" "PLATICHTHYS_FLESUS" "PLEURONECTES_PLATESSA" "SALMO_SALAR" "SCOPHTHALMUS_MAXIMUS" "SPRATTUS_SPRATTUS" "TRISOPTERUS_MINUTUS" "ZOARCES_VIVIPARUS"
"TEREBELLIDES_STROEMI" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0
"ALOSA_FALLAX" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0
"CLUPEA_HARENGUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
"COREGONUS_ALBULA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"ENCHELYOPUS_CIMBRIUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0
"GADUS_MORHUA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0
"GASTEROSTEUS_ACULEATUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 0 0 1
"HYPEROPLUS_LANCEOLATUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0
"LIMANDA_LIMANDA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 0
"MERLANGIUS_MERLANGUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1 1 0 1 0 0 0
"MYOXOCEPHALUS_QUADRICORNIS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"MYOXOCEPHALUS_SCORPIUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0
"OSMERUS_EPERLANUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1
"PLATICHTHYS_FLESUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0
"PLEURONECTES_PLATESSA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 1 0 0 0
"SALMO_SALAR" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SCOPHTHALMUS_MAXIMUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0
"SPRATTUS_SPRATTUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 1 0 1 1 1 1 1 0 0
"TRISOPTERUS_MINUTUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0
"ZOARCES_VIVIPARUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1
